id;model_year;model_code;lot_start;unit_start;lot_end;unit_end;estimated_production_date_start;estimated_production_date_end;inspection_id;system_id;pattern;pattern_division_number;pattern_division_number_total
1;Ana;encom;dep;Des;Han;web;2019-05-15T23:01:20;2019-05-15T16:17:12;optical;installation;Argentine Peso;K;o
2;Sau;disin;bri;Fij;Mac;Age;2019-05-15T22:28:55;2019-05-15T14:16:16;deposit B2B cro;programming SCSI drive;invoice Unbranded Cheese;N;i
3;Buc;Devol;Fis;pay;loc;tur;2019-05-16T06:01:30;2019-05-15T21:43:27;Coordinator Cam;cross-platform Borders;Libyan Dinar CSS;s;A
4;dep;unifo;Tac;Fac;com;Bed;2019-05-16T02:56:11;2019-05-15T22:31:04;Configuration U;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;p;r
5;Syn;Borde;oli;inc;int;Gar;2019-05-16T05:00:14;2019-05-15T15:44:48;TCP Assimilated;compressing;Brunei Darussalam interface;c;b
6;Ira;Phili;Str;car;min;Chi;2019-05-16T09:56:23;2019-05-15T15:49:03;Saudi Riyal par;Corporate;Enterprise-wide Benin;T;a
7;sys;hack;lea;Erg;Dev;Buc;2019-05-16T01:28:06;2019-05-15T20:17:11;Generic Frozen ;implement;Optimization Cambridgeshire;p;W
8;Out;Jamai;Sta;par;Bra;yel;2019-05-16T02:49:36;2019-05-16T11:26:36;Generic;robust withdrawal generate;Garden open-source hybrid;S;P
9;sch;quant;int;use;Man;Fan;2019-05-15T14:13:11;2019-05-15T23:03:25;Buckinghamshire;Direct;Small Frozen Salad bypassing;t;B
10;met;Pakis;par;neu;Tas;ban;2019-05-15T19:22:06;2019-05-15T17:36:17;Auto Loan Accou;Centralized revolutionize International;Sleek;V;e
