id;vehicle_id_number;overall_judgment;overall_judgment_at;model_year;model_code;lot_number;unit_number;estimated_production_date;updated_at
1;mobile Fish;Home Loan Account Table Computer;2019-05-16T10:29:12;2019-05-16T00:51:32;seamless Metal deposit;Producer;Implementation Electronics Officer;2019-05-15T21:03:41;2019-05-16T04:34:44
2;Albania web-readiness;Namibia;2019-05-16T02:17:03;2019-05-16T08:31:59;zero administration;Multi-channelled Licensed;grey Cambridgeshire;2019-05-15T21:39:47;2019-05-16T00:40:43
3;HDD;Table Small Frozen Sausages Planner;2019-05-15T16:28:46;2019-05-16T02:37:51;Music;Nakfa;Bahamian Dollar Investment Account;2019-05-15T15:53:03;2019-05-16T11:03:20
4;Regional;Tuna;2019-05-15T17:45:08;2019-05-16T04:23:59;Costa Rica Mayotte;Industrial;connect Markets Chief;2019-05-15T21:31:53;2019-05-15T18:25:35
5;archive Georgia Aruba;software scale interactive;2019-05-15T15:59:29;2019-05-15T21:47:56;Specialist Home Loan Account;Plastic;Car Industrial deliverables;2019-05-16T02:24:13;2019-05-16T07:06:42
6;Books;magenta monitor 1080p;2019-05-15T21:20:16;2019-05-16T10:06:13;world-class Frozen IB;Highway Ergonomic;moratorium moratorium;2019-05-15T18:22:13;2019-05-15T21:41:23
7;tangible Mississippi;Frozen bus;2019-05-15T17:37:20;2019-05-15T18:33:34;Robust Networked;Poland;Small partnerships;2019-05-16T07:02:22;2019-05-16T11:07:35
8;withdrawal knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;2019-05-16T07:00:26;2019-05-16T06:23:23;Generic neutral Salad;Auto Loan Account modular Refined;digital maroon;2019-05-15T14:27:34;2019-05-15T14:40:56
9;projection Fresh;support Gorgeous;2019-05-16T06:24:37;2019-05-15T20:20:11;Jewelery cutting-edge;Games;Iraq Bedfordshire;2019-05-15T19:15:45;2019-05-16T09:00:14
10;24/7;Gloves sky blue Oklahoma;2019-05-16T02:11:20;2019-05-16T03:09:13;Engineer;Exclusive Moroccan Dirham card;zero tolerance;2019-05-16T10:59:44;2019-05-16T05:28:41
